scope,resulttype,,METHOD or VARIABLE,ARGUMENTS,FSnode,FSnode_local,FSnode_ftp,FSnode_dropbox,Required by:,FSfile,FSbrowser,FSmirror
,,,,,,,,,,,,
global,mixed,,(),"?, ?, ?, ?",YES,,,,,YES,YES,YES
,,,,,,,,,,,,
OBJECT VARIABLES,,,,,,,,,,,,
private,array,$,hooks,,YES,inherit,inherit,,,,,
var,string,$,URI,,YES,inherit,inherit,,,YES,YES,
,,,,,,,,,,,,
private,resource,$,ftp_stream,,,,YES,,,,,
private,bool,$,authenticated,,,,YES,,,,,
,,,,,,,,,,,,
var,class FSnode_*,$,fsnode,,,,,,,YES,,
private,,$,_reverence,,,,,,,,,
,,,,,,,,,,,,
var,string,$,label,,,,,,,,YES,
var,class FSnode_*,$,handler,,,,,,,,YES,
,,,,,,,,,,,,
var,class FSnode_*,$,local,,,,,,,,,YES
var,class FSnode_*,$,remote,,,,,,,,,YES
var,bool,$,ignore_switch,,,,,,,,,YES
var,array,$,preg_list,,,,,,,,,YES
var,bool,$,recursive,,,,,,,,,YES
var,array,$,log,,,,,,,,,YES
,,,,,,,,,,,,
META DATA FUNCTIONS,,,,,,,,,,,,
public,string,::,Version,(bool),YES,YES,YES,YES,,YES,YES,
public,string,::,Product_url,(bool),YES,inherit,inherit,,,YES,YES,
public,string,::,Product,(bool),YES,YES,YES,YES,,YES,YES,
public,string,::,License,(bool),YES,inherit,inherit,,,YES,YES,
public,string,::,License_url,-,YES,inherit,inherit,,,YES,YES,
public,string,::,Product_base,-,YES,inherit,inherit,,,YES,YES,
public,string,::,Product_file,(bool),YES,inherit,inherit,,,YES,YES,
,,,,,,,,,,,,
public,bool,::,AutoUpdate,-,YES,inherit,inherit,,,,,
,,,,,,,,,,,,
INITIAL FUNCTIONS,,,,,,,,,,,,
initial,,::,FSnode,"?, ?, ?, ?",YES,inherit,inherit,,,,,
private,,::,_initialize,"?, ?, ?, ?",UNDER CONSTRUCTION,,,,,,,
,,,,,,,,,,,,
METHODS TESTING,,,,,,,,,,,,
private,array,::,_allowed_methods,-,as local,YES,YES,NO,,,,YES
public,bool,::,method_exists,(string),YES,inherit,inherit,,,,,YES + REQUIRED
,,,,,,,,,,,,
SERIALIZATION,,,,,,,,,,,,
public,string,::,__toString,-,DUMMY,YES,DUMMY,,,YES,,
,,,,,,,,,,,,
HOOKS,,,,,,,,,,,,
private,bool,::,_hook,"(string) hook, (array) vars",YES,inherit,inherit,,,,,
public,bool,::,add_hook,"(string) hook, (bool) auto load",YES,inherit,inherit,,,,,
,,,,,,,,,,,,
EXTENSIONS,,,,,,,,,,,,
public,bool,::,load_extension,(string),YES,inherit,inherit,,,,REQUIRED,
public,bool,::,load_FSnode_extension,(string),YES,inherit,inherit,,,,,
public,array,::,list_FSnode_extensions,-,YES,inherit,inherit,,,,,
,,,,,,,,,,,,
URI and URL HANDLING,,,,,,,,,,,,
public,class FSnode_*,::,URI_load,"(string) URI, (bool) auto connect",YES,inherit,inherit,,,,REQUIRED,REQUIRED
public,string | FALSE,::,get_FSnode_extension_by_URI,(string) URI,YES,inherit,inherit,,,,,
public,array,::,get_FSnode_hooks_by_URI,(string) URI,YES,inherit,inherit,,,,,
,,,,,,,,,,,,
public,array,::,parse_url,"url, component",YES,inherit,inherit,,,,REQUIRED,
public,string,::,rebuild_url,(array) arguments,YES,inherit,inherit,,,,,
,,,,,,,,,,,,
FILESYSTEM HANDLER FUNCTIONS,,,,,,,,,,,,
public,bool,::,chmod,"filename, mode",as local,inherit,YES,,,,,SUGGESTED
public,bool,::,chgrp,"filename, group",as local,inherit,DUMMY,,,,,
public,bool,::,chown,"filename, user",as local,inherit,DUMMY,,,,,
,,,,,,,,,,,,
public,bool,::,copy,"source, dest",as local,inherit,YES,,,,,
,,,,,,,,,,,,
public,float,::,disk_free_space,directory?,as local,inherit,DUMMY,,,,LINE 138 REQUIRED,
